"AmpliSeq for Illumina Focus Panel",,
"Hotspot Genes","Copy Number Variants","Fusion Drivers"
AKT1,ALK,ABL1
ALK,AR,ALK
AR,BRAF,AKT3
BRAF,CCND1,AXL
CDK4,CDK4,BRAF
CTNNB1,CDK6,EGFR
DDR2,EGFR,ERBB2
EGFR,ERBB2,ERG
ERBB2,FGFR1,ETV1
ERBB3,FGFR2,ETV4
ERBB4,FGFR3,ETV5
ESR1,FGFR4,FGFR1
FGFR2,KIT,FGFR2
FGFR3,KRAS,FGFR3
GNA11,MET,MET
GNAQ,MYC,NTRK1
HRAS,MYCN,NTRK2
IDH1,PDGFRA,NTRK3
IDH2,PIK3CA,PDGFRA
JAK1,,PPARG
JAK2,,RAF1
JAK3,,RET
KIT,,ROS1
KRAS,,
MAP2K1,,
MAP2K2,,
MET,,
MTOR,,
NRAS,,
PDGFRA,,
PIK3CA,,
RAF1,,
RET,,
ROS1,,
SMO,,
